sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G129,ya bang saya baru saja kena tipu pinjol dari atas nama kridito dan saya di minta suru intaal apk pas di buka paket si cepat kak tapi tiba2 data2 saya bobol semua. suru kirim kode otp2 ny pas itu whasap saya tidak bisa ke buka. dan peleter saya di kuras habis bulakapak dan kridivo y kak dan saya kasih data imel dan paspor ny. terus saya udah lamporan ke ojk ny. ke depan ny saya harus gimna ya kak pa data saya masih aman pa gak.. tolong kak pejellasan. dan saya hampir kasih foto ktp dan saya hapus lgi dari wea ny gimna ya,relevan,phishing_rekayasa_sosial,R1,4,
G130,Terus kalo judi online ayam gimana tuh,tidak_relevan,,,2,
G131,"Sorang pria kepergok cctv mengendap2 mengganti barcode Qris  kotak amal di Masjid Nurul imam di Blok M dan Masjid Kalibata city
Tandain mukanya @DivHumas_Polri, kemungkinan jaringan dari teroris yg sedang mencari dana.. https://t.co/bdG1P2WHYk",relevan,penipuan_ewallet_qris,R2,3,
G132,Sarah main slod di bed 60perak aja,tidak_relevan,,,2,
G133,Namanya judi gk ada yg mending mending bodohh​@MasImam-w1w,relevan,judi_online_pinjol,R5,2,
G134,Alah telat lagi...makasih kak rizki videonya❤❤,tidak_relevan,,,4,
G135,"Ciri-Ciri Kena APK Jahat Atau Kena Hack Tahun 2023 Paling Lengkap
https://youtu.be/-x-c4NjqdPU
Ini solusi totalnya",relevan,malware_apk,R2,3,
G136,Cara menang dari judi adalah berhenti judi,relevan,judi_online_pinjol,R3,3,
G137,"Kemarin ada yang mau coba akses akun linkaja! punya saya dengan tiba"" masuk sms kode keamanan ke hp saya. Jangan"" itu ulah si penipu juga, padahal saya gk pernah klik link aneh"".",relevan,phishing_rekayasa_sosial,R1,3,
G138,Gara gara judol gw putus mau merit GK jadi karna uang tabungan di depoin Semua kerjaan gw berantakan uang kantor ke pake gw bersumpah GK akan main judol lagi karena gw dah di pecat cari kerjaan baru susah kecil proses lagi,relevan,judi_online_pinjol,R1,3,
G139,Semoga di tutup semua pinjol dan judol agar masyarakat terbebas dari 2 penyakit ini,relevan,judi_online_pinjol,R3,3,
G140,masyaAllah tabarakallah. Informasi yg sngat brmanfaat. Smoga ini bs mnjadi pintu rejeki buat sya yg habis ketipu online mall amazon 10jt lbih. Bismillah smoga berkah barokah. Aamiin.,relevan,phishing_rekayasa_sosial,R1,3,
G141,"Lagi rame banget nih, ada smartphone resmi di Indonesia bernama INOI yang dibenamkan Malware TRIADA. Ngeri banget 🥲

Negatifnya: 
Pencurian Data Sensitif
Pembajakan Akun
Pengendalian Jarak Jauh
Modus Finansial Ilegal

Sumber: https://t.co/vA1ELxZK7i https://t.co/8gbY9PVMsx",relevan,malware_apk,R2,3,
G142,sama broo gw jga kaya gitu gara² ade gw mencet link phising pas make hp gw dan itu trjadi di 2022 pdahal akun game gw ada di situ wkwk,relevan,phishing_rekayasa_sosial,R1,3,
G143,klu anda ingin mengajari orang apa yg anda bisa anda juga harus berhati hati siapa tahu yg pingin belajar ternyata justru penipu yg berpura pura jd orang baik yg tertipu,relevan,phishing_rekayasa_sosial,R3,3,
G144,Mau tanya bagi yg tau kemarin saya download gcam lewat link di chnnel yt gk sengaja download apk virus bukan gcm yg dicantumkan saya taunya pasa saya instal ada peringatan virus lalu langsung saya unistal apk tersebut tp saya masih takut virusnya masih ada dihp saya mohon pencerahannya 🙏,relevan,malware_apk,R1,3,
G145,"JANGAN DIAM! 
Jika Data kalian bocor di edabu BPJS kesehatan - LAKUKAN INI!

Melanjutkan thread terkait kebocoran data yang kami bahas sebelumnya. Kita sebagai pengguna BPJS Kesehatan, harus bertindak. jangan diam saja.. 

Bookmark+RT untuk sebar kebaikan https://t.co/vRFxfbpWNY",relevan,peretasan_pencurian_identitas,R3,3,
G146,"Coba bongkar mix parlay bang, judi bola",relevan,judi_online_pinjol,R5,2,
G147,"Ini yg sebenarnya yg gw tunggu dari lu bang,,, karena judol di Indonesia ini sangat "" parah dan susah di hilangkan...good job ❤",relevan,judi_online_pinjol,R5,2,
G148,"Bang saya ngklik apk. Mengatasnamakan max*mfood. Lazbon saya kebobol,masih untung dananya masuk ke rek saya. Hp yang kena virus penipu sudah saya reset, Sekarang saya sudah ganti hp tapi nomer masih yang kena hack. Apakah aman bang. Tolong di jawab bang 🙏. Sudah 2 bulan ini saya merasa was was terus.",relevan,malware_apk,R1,3,
G149,Judi bisa menghancurkan segalanya,relevan,judi_online_pinjol,R3,3,
G150,"Iman Mahlil menempelkan stiker QRIS palsu seorang diri di 38 masjid dan bank di Jakarta hingga Tangsel dan raup belasan juta dalam sepekan. Kini, ia pun ditangkap. https://t.co/uSn8PIAFv1",relevan,penipuan_ewallet_qris,R2,3,
G151,Kalo 5 panglima scammer tu deepfake ke?,relevan,deepfake_penipuan_ai,R5,3,
G152,Arti dari efek candu diatas narkoba yaitu si pemain judol nonton ini pun akan tetap bermain😂,relevan,judi_online_pinjol,R2,3,
G153,"Meskipun macet, memangnya apa yg diurus prabowo sehingga memerlukan akses cepat? Kayak yg diurus masalah PLT nuklir, kebocoran data militer, atau ngurus tender pembuatan rudal jelajah anti kapal ke perusaan swasta lokal aja.

Kalau cuma ngurus MBG, kayaknya naik gerobak juga",tidak_relevan,,,2,
G154,Intinya kalo miskin jangan judi,relevan,judi_online_pinjol,R3,3,
G155,Dark joke ending Semoga judol di berantas pemerintah Pdhl pemerintah jg yg memfasilitasi,relevan,judi_online_pinjol,R2,3,
G156,"Bukti nyata, kongkrit!! Kalo masih ada yg tergiur nyoba/lanjut main judol brati otaknya udah kronis",relevan,judi_online_pinjol,R2,3,
G157,"Hati-Hati! Modus Penipuan Baru dengan Mengganti QRIS Kotak Amal Pakai Rekening Pribadi.
https://t.co/rxzkWXsDyP #QRIS #Masjid #blokm #penipuan #EksplisitKreatifMedia #EksplisitOfficial",relevan,penipuan_ewallet_qris,R3,4,
G158,Kabar Terbaru Iman Mahlil yang Tempel QRIS Kotak Amal Palsu di Masjid Jakarta https://t.co/JBHocPutws,relevan,penipuan_ewallet_qris,R5,3,
G159,temen gua nonton ini sambil buy scatter.😂,relevan,judi_online_pinjol,R2,3,
G160,Aku sering nemu iklan judol deepfake nya Raffi Ahmad 😅😅,relevan,deepfake_penipuan_ai,R2,4,
G161,key logger itu,tidak_relevan,,,3,
G162,Fakta Penangkapan Pelaku Pemasang 'QRIS' Palsu di Kotak Amal Masjid yang Tersebar di Jakarta https://t.co/3OPc5Yejl8,relevan,penipuan_ewallet_qris,R2,3,
G163,"lagi di fase ini. capek bgt ngasih tau tetangga yg lagi kena love scam..udah abis 20jt lebih.. tp ga sadar2. bandel bgt dibilanginnya، ga percaya bjir lah.. 😞😣 scammer mengatasnamakan Dato Ray Imran. seorang Duda kaya raya dari Malaysia yg dgn bujuk rayunya,bilang mau menikahi tetanggaku itu dan malangnya tetanggaku percaya aja. padahal wa ga bisa divideo call..berkali Kali minta di tf dengan alasan mau ngirim hadiahlah, surprise lah, apalah..ketahan di bea cukailah.. aduh cape bgt ngadepin emak emak yg gaptek tapi sok merasa paling benar & paling ngerti semuanya. mulut sampai berbusa sudah keluarga & saudara menasehatinya. nyerah",relevan,phishing_rekayasa_sosial,R2,4,
G164,Ternyata penyerangnya masih pakai metode manual dalam memasukan OTP nya. Kirain mencuri data dari korban auto kesedot semua.😂 seperti halnya sistem auto debit...,relevan,peretasan_pencurian_identitas,R2,3,
G165,Kalau aplikasi slot up 777 gimana ya?,relevan,judi_online_pinjol,R2,3,
G166,Musuh Penipu & oknum Polis*i ni 🤣🤣🤣,tidak_relevan,,,3,
G167,Channel Mr Bert mngupas ttg kjahatan online,tidak_relevan,,,4,
G168,Untung gw sadar,tidak_relevan,,,4,
G169,"Polisi Sebut Surat Tilang ETLE Via WA Format APK Penipuan, Warga Diminta Hati-hati https://t.co/ZXo7o5VAEI",relevan,malware_apk,R3,4,
G170,"2️⃣ Layered Security Approach
Deteksi deepfake + face recognition + enkripsi bekerja sebagai sistem berlapis, bukan tunggal.
3️⃣ Privacy by Design
Struktur sistem sejak awal dirancang untuk minimisasi data, bukan eksploitasi data.
#InterLink #ITLG #ITL",relevan,deepfake_penipuan_ai,R3,5,
G171,"Pengacaranya kurang wawasan, padahal korban menginstall aplikasi yang tujuannya untuk monitor SMS masuk
Jika menginstall sama aja si korban ngasih akses buat baca pesan, mau gak install kan si pelaku bisa install dan kode OTP dapet dari aplikasi monitor",relevan,phishing_rekayasa_sosial,R2,4,
G172,"Pihak BCA bisa cek kok itu saat transaksi yg pembobolan itu menggunakan perangkat apa, IP address apa, tinggal dicek aja apakah sama dgn yg punya korban. Bisa juga HP nya sudah terjangkit malware dan bisa dicloning jarak jauh. Suka download dari WA group bahkan penipu yg mengirim APK malware",relevan,malware_apk,R2,4,
G173,"@jackon1el @jackon1el Selalu waspada terhadap pihak yg mengatasnamakan DANA dan jangan pernah bagikan PIN atau kode OTP ke siapa pun serta jangan klik link yg mencurigakan ya. Jika ada kendala lain terkait akun DANA, silakan dapat hubungi kami kembali ya. Kami siap membantu. Tks -DS- (2)",relevan,phishing_rekayasa_sosial,R3,5,
G174,"Bikin konten yg bnr aja la,bru download dpt 5juta,blg aja suruh org download apk",relevan,malware_apk,R1,4,
G175,Seorang pria misterius menempelkan QRIS palsu pada kotak amal di masjid di kawasan Jakarta Selatan. Polisi menyebut sudah mengantongi identitas pelaku. https://t.co/k5jFZ5XOct,relevan,penipuan_ewallet_qris,R5,3,
G176,Di 3 th ini sudah hampir 300 jt di puluhan situs judol rungkat... kenapa baru sekarang edukasi ini baru muncul 😭😭😭 mustinya 2 th yang lalu... btw harus menyandang pensiunan judol 🙏🙏,relevan,judi_online_pinjol,R2,3,
G177,saya sudah dikasih kemenangan 3 jt tapi kalahnya sudah mencapai 8jt an.. kalo saya teruskan bermain.. maka akan ludes uang saya . hutang dimana2.. memang judol itu.. menang buat kita ketagian.. kalah buat kita penasaran... walaupun ujung2nya pasti kita kalah selama2nya..,relevan,judi_online_pinjol,R1,4,
G178,Tadi gw install apk baju batik entah dari siapa aman² gw mah padahal udah login tuh apk,relevan,malware_apk,R1,3,
G179,ada jasa hack wa orang gak,relevan,peretasan_pencurian_identitas,R4,3,
G180,Tanggapan Lengkap Ditjen Pajak soal Keluhan Soimah hingga BI Blokir QRIS Palsu 12 Kotak Amal Masjid Al Azhar jadi artikel populer Money Senin. https://t.co/N1nfnu6SKi,relevan,penipuan_ewallet_qris,R2,4,
G181,"Terima kasih BRI terus melayani negeri, terus mengedukasi kita semua akan bahaya dari modus penipuan Soceng.",relevan,phishing_rekayasa_sosial,R2,3,
G182,Bang mau nanya kalo kita cuma instal apk virusnya doang tapi kaga dikasi izin /tolak apakah masih ke sadap?,relevan,malware_apk,R2,3,
G183,"Begini android memang tidak sebobrok itu, tapi lihat siapa sebenarnya mangsa apk malware ini? Yah jelas user android yg gaptek dan asal allow² izin aja. Jadi jgn suudzon apk malware ini sengaja dibuat utk nyerang android aja biar berpaling ke hp buah.",relevan,malware_apk,R2,3,
G184,"@danawallet untung dana ingetin, bahaya bgt tuh qris palsu, thanks ya min👌",relevan,penipuan_ewallet_qris,R2,3,
G185,"Pas Mau ganti password nya,saya kan gak tau sandi nya karena udah di ganti Ama yang ngebajak,gimana Solusi nya?",tidak_relevan,,,3,
G186,"Assalamualaikum bang, minta tolong buat review apk kerja paruh waktu tiktok bang sekarang udh banyak sekali korban sana saya salah satunya.",tidak_relevan,,,3,
G187,"Sama ky saya.
Kemarin sy klik download dan install apk dari link wa dg tulisan undangan.
Tapi pas saya buka mencurigakan, lalu sy uninstall dan hapus file nya.

 Tapi 3 hari setelah kejadian saldo m-banking  masih aman s, cuma yg jadi kendala bingung apakah harus reset pabrik y hp nya, menurut bbrp tutor d yt si harus.

@pacekomputer
@bondanagung2238",relevan,malware_apk,R2,4,
G188,Sebenarnya mah kita itu di permainkan secara psikologi aja sih sampe gak bisa berpikir jernih aku juga pernah ketipu sales mall sempat ilang ratusan ribu sebenarnya aku sadar ada yg gak beres tapi saat itu aku gak berdaya psikologis ku di permainkan setelah selesai baru bisa mikir jernih beruntung kaka temen ku lawyer jadi dia bantu ancam tuh sales penipu dengan pasal walhasil uangku kembali tapi di tahan 50 ribu gak papa buat pengalaman. Sejak saat itu kalau ke mall aku langsung kabur kalau ada sales yg pegang brosur dan mau nargetin kita.,tidak_relevan,,,3,
G189,"Saya dikirimin pesan WA dari nomor yg saya tdk kenal dan menawarkan bantuan, saya memang ada masalah terkait transaksi penarikan uang yg gagal dari sebuah aplikasi,,,, tapi sebelum dikirimin pesan itu ada telepon (misscall) dari nomor baru yg lain,,,, si pengirim pesan tadi meminta nomor yg menelpon saya sebelumnya itu, apakah itu modus juga ya?,,, Sy merasa bahwa aman saja saya memberinya nomor itu karena itu hanya nomor telpon bukan kode OTP, tetapi karena kwatir sy jadinya tidak memberikannya. Tetapi saya masih bimbang karena mungkin saja itu benar adanya dia mau membantu saya, karena memang saya ingin mendapatkan kembali uang saya di aplikasi itu. Mohon penjelasannya 🙏🙏🙏",relevan,phishing_rekayasa_sosial,R2,4,
G190,Sayang.. bukti penipuan udh sy hps. Krn sy pikir mustahil bs di lacak..sedih rasanya ketipu byk .,tidak_relevan,,,3,
G191,"Lucu... Yg klik apk siapa, yg disalahkan siapa. Pengacaranya kurang pinter teknologi",tidak_relevan,,,3,
G192,"Setuju gw bang, menurut gw jga ini lebih ke social engineering sii, krna penyebab utamanya kelalaian sii pengguna, mau aja disuruh install, klo yg murni hacking mh gak bakal sesederhana itu",relevan,phishing_rekayasa_sosial,R2,3,
G193,"Ga ada yang bilang bobrok, tapi lebih ke security yg lemah sampe memudahkan hacker buat ngelolosin hal kayak gini. Ya semua nya emg balik lagi ke user, user yg kasih akses data. Kalau di iOS ga bisa main asal install ipa file. Kalau android bisa install apk file dengan mudah. Tapi gimana kalau korbannya orang yg ga paham dan main install aja tanpa mencari tau ? Makanya pentingnya edukasi ke masyarakat soal bahaya menginstall aplikasi sembarangan, masalahnya edukasinya masuk atau ga ? Sekian terima kasih",relevan,malware_apk,R2,3,
G194,Gw yakin msh banyak yg gak nyadar.padahal dh jls2x semua judol itu setinggan. Mao bnyk uang y u kerja keras bukan maen judol bro. #mantap buat bang Marsel,relevan,judi_online_pinjol,R2,3,
G195,Kasus penyebaran QRIS palsu di Jakarta dan Tangsel memasuki babak baru. Tersangka Iman Mahlil akan segera diadili. https://t.co/HqT2GFcNX2,relevan,penipuan_ewallet_qris,R2,3,
G196,aaaaaaaa gue butuh jasa hack akun ff biar alin gabisa main ff lagi,tidak_relevan,,,3,
G197,Mantul booosssQu ❤,tidak_relevan,,,3,
G198,Makasih pak,tidak_relevan,,,4,
G199,"Beredar Klarifikasi Viral Penempel QRIS Kotak Amal Masjid
https://t.co/aQdzrkH9AF",relevan,penipuan_ewallet_qris,R2,3,
G200,"Tanteku pernah kena deep fake AI give away artis, transfer berkali-kali total 54 juta😢",relevan,deepfake_penipuan_ai,R2,4,
G201,"Makasih kak atas vodio nya, ini sgt sgt membuka sy secara pribadi sprt apa deepfake atau penipuan penipuan yg akan semakin canggih dg menggunakan AI, terutama bg para orang tua orang tua yg suka main medsos tp gaptek terutama akan AI, konten yg sgt bermanfaat sekali👍👍👍",relevan,deepfake_penipuan_ai,R2,3,
G202,"Terimakasih mas marchel sangat sangat sangat mengedukasi, Konten Luar Biasa❤❤❤",tidak_relevan,,,4,
G203,Habibi Katin selaku Sekretaris DKM Masjid Nurul Iman mengungkap QRIS ditempel sejak 6 April 2023. Jemaah ada yang tertipu infak melalui QRIS palsu itu. #newsupdate #update #news #text https://t.co/7IZjHRWYGC,relevan,penipuan_ewallet_qris,R2,4,
G204,Judi kasino doank jelas kalah menangnya 😂,relevan,judi_online_pinjol,R2,3,
G205,"Sumpah Ai lama2 meresahkan apalagi kl korban nya org tua yang gaptek dan kurang paham sm media sosial, ngeri bgt bahkan di iklan youtube kadang ada website jualan yg pake suara AI😭😭😭",relevan,deepfake_penipuan_ai,R2,3,
G206,​@IpankDisini-tm6ir Si admin judol komen,tidak_relevan,,,3,
G207,Di kalangan buruh pabrik rata2 yah pada main judi online dan rokok 😅 gaji belasan juta juga abis buat rokok dan judi online.. Kalo mennah judi yah michat 😂,relevan,judi_online_pinjol,R2,3,
G208,"Saksikan Pastikan Sahih

PENIPUAN AI SCAM

28 Mac 2026 (Sabtu) | 4:05 petang

'Yang sahih di RTM'
#RTM #BeritaRTM #MalaysiaMadani #TaatSetia #BersamaMALAYSIAKU #RancakkanMADANI #MADANIBekerja https://t.co/76Puoqa1BW",tidak_relevan,,,2,
G209,Berita populer Jabodetabek dimulai dari bos gelato bongkar siasat karyawan yang tilap uang pakai QRIS palsu sampai COO Miss Universe ditahan. https://t.co/7uPPWWhYC9,relevan,penipuan_ewallet_qris,R2,3,
G210,"info jasa hack ig yang beneran bisa balik dong, soalnya akunnya divonis gabisa balik ni #zonauang",relevan,peretasan_pencurian_identitas,R1,2,
G211,"WA Eks Kadisdik Boyolali Diduga Diretas, Sebar APK Penipuan https://t.co/PZmbfLmKpG https://t.co/vHHFCkiEBd",relevan,malware_apk,R2,3,
G212,"Seorang pria terekam kamera CCTV menipu toko helm di Cileunyi, Bandung, dengan modus QRIS palsu.
#newsupdate #update #news #videonews https://t.co/4qFNJkofkU https://t.co/aG91lK8nSs",relevan,penipuan_ewallet_qris,R2,3,
G213,Ya berantas tuntaskan penipuan atas nama bank BRI BCA dlln.,relevan,phishing_rekayasa_sosial,R2,3,
G214,YouTube Uji Teknologi Deteksi Deepfake AI untuk Pejabat dan Jurnalis https://t.co/nA66H2SxJl https://t.co/QvCsUH03BC,relevan,deepfake_penipuan_ai,R5,4,
G215,Up stop judi biar Indonesia emas ❤,relevan,judi_online_pinjol,R3,4,
G216,Bng di fb saya kok tidak ada bacaan tidak punya ke akses ke sini lagi gimana cara nya bng plisss😭,tidak_relevan,,,4,
G217,"Untuk rehabilitasi ada bang di rs jiwa, cuma ya ga khusus judol",tidak_relevan,,,3,
G218,"Memang itu polisi palsu mas, cuma ditambah lagi wajahnya deepfake",relevan,deepfake_penipuan_ai,R2,3,
G219,"Gak ada pengaruh sama jurusan IT atau bukan dek,,yang penting fungsi otak bisa di gunakan dengan baik gak mungkin tergiur sama judol dek😂",relevan,judi_online_pinjol,R5,2,
G220,"@Raditama0210 Ngebayanginnya aja dah pelik. Kaan, kf21 blok 3 (gen 5) pastinya jadi lawan potensial bagi su57e user di negara lain karena turki lawan potensial russia, korsel lawan potensial russia dan korut. Kebocoran data strategis di indonesia kalo memiliki ketiganya tentu jd concern",relevan,peretasan_pencurian_identitas,R2,3,
G221,SETIAP GUA LIAT IKLAN JUDOL SLOT DI MEDIA SOSIAL.... GUA LANGSUNG KOMEN DAN TIDAK LUPA KASIH LINK VIDEO PESULAP MERAH INI 😂😂😂😂😂😂😂 dan mudah mudahan aja banyak yang Nyadar dan Berhenti Dari Judol Slot ini SLOT itu bukan Judol Tapi Penipuan,relevan,judi_online_pinjol,R3,3,
G222,Bisa belajar ilmu nya tidak bung.. Sy habis ketipu model shopping on line,tidak_relevan,,,2,
G223,"@cyalcill44 @bismillahyuk_ aku sempet baca di threads, katanya perusahaan pinjol punya akses ke BPJS, makanya bisa tau kontak keluarga",relevan,judi_online_pinjol,R2,3,
G224,"Harusnya pemerintah itu merekrut orang"" yang pinter IT biar judol itu ke ban lisensinya",relevan,judi_online_pinjol,R3,3,
G225,Sayang kurang komplit pembahasanya..cuma judol Game..yang Judol Angka tidak pernah di bahas..disemua narasumber,tidak_relevan,,,2,
G226,"Saya juga kak kl percaya pasti udh ketipu bnyk tp kayak give away trs tangkap gambar aja kena trs tiap tangkap gambar di fb 300 juta an dpt 6 tangkap udh brp gampngn bng5 nyari uang nya pdhl pengangguran di indonesia buanyak bngt bngt bngt jd gak percaya gt"" palg lwt tlpn sk di angkat blngn gak punya no rek ini hp juga punya pk kades nebeng saya tinggal di gunung..kdng blng ambil aja uang ny buat kamu saya sudah kaya ngapain kamu kasih..malu penipu ny sk di matiin sepihak..barusan di youtube tngkap gambar 30 jt😊😊😊 pinter"" bngt ya para penipu cari uang🥴🥴",relevan,phishing_rekayasa_sosial,R1,3,
G227,"QRIS palsu ditempelkan di kotak amal yang tersebar di penjuru masjid. Tak tanggung-tanggung, sudah ada 50 stiker QRIS palsu yang ditempel. #newsupdate #update #news #text https://t.co/nMZXeequuG",relevan,penipuan_ewallet_qris,R5,3,
G228,"@nabillaaptrii biasanya modus ini ujungnya macem"",  bisa buat pinjol ilegal pake data kita, bikin rekening palsu, atau dijual ke pihak ketiga. yang paling bahaya kalo sampe ktp + selfie kekirim, itu cukup buat daftar pinjaman online atas nama kita tanpa kita tau. kalo udah terlanjur kirim,",relevan,phishing_rekayasa_sosial,R3,3,
G229,"Berikut beberapa ""minus"" yg bikin Bitcoin maxi menghindari Ledger.👇

1. Ledger pernah terjadi kebocoran data!
Yupz, kalian ga salah baca: kebocoran data/data breach. Yg bocor bukan seed phrase pengguna, karena pihak Ledger pun ga tau seed phrase penggunanya. Tapi tetep aja,",relevan,peretasan_pencurian_identitas,R3,4,
G230,Pelaku Penipuan Modus QRIS Palsu Kotak Amal Masjid Ditangkap di Kebayoran Lama https://t.co/IzkO8nnYI5,relevan,penipuan_ewallet_qris,R5,4,
G231,"Maaf mau nanya serius.
Kalo cuma buka chatnya doang aman gak ya? (Cuma buka chat doang, tidak klik atau download file .apk nya)

Soalnya kebanyakan sumber cuma bilang ""jangan klik blablabla"" udah. Gak dikasih tahu lagi apakah cuma buka/baca chatnya doang termasuk bahaya atau enggak.",relevan,malware_apk,R3,3,
G232,"Pola judi begitu bos, di kasih menang trus di kasih kalah. Jalan satu2 nya kalau sudah menang berhenti",relevan,judi_online_pinjol,R3,3,
G233,Tapi suara tiruan beda jauh dngn yg asli,relevan,deepfake_penipuan_ai,R2,4,
G234,si PALING iT. Harusnya skolah iT bisa bawa dampak positif buat teman² nya yg sesat bukan tertawa melihat teman sesat dan melarat. Apalagi sekolah iT. Contoh bg Marcel sekolah sulap bongkar metode judol depan netizen. Lah si paling IT justru ketawa karena hanya di omongin. Lawak ???,relevan,judi_online_pinjol,R2,3,
G235,kalau file apk yang kita install dari babi ngepet ini kita hapus apakah data kita masih aman om.,tidak_relevan,,,3,
G236,Lagian kalau kita ga merasa ada yang mengirim paket apapun kenapa di tanggapin.tapibya namanya lagi apes bisa juga kena tipu,tidak_relevan,,,2,
G237,"masih terus bertebaran, aku cmn mau ngasih reminder, kalauuuuuu JASA HACK AKUN ITU GAADA YAAA temen-temen #zonauang https://t.co/NLI7NqgibJ",relevan,peretasan_pencurian_identitas,R3,4,
G238,"Waspada! Modus Penipuan Baru Ganti Barcode QRIS Kotak Amal Masjid di Jaksel  
#MediaIndonesia #ReferensiBangsa #penipuan https://t.co/xKhVN8VRKy",relevan,penipuan_ewallet_qris,R3,4,
G239,"Gara gara slot , pekerja,an ku hancur",relevan,judi_online_pinjol,R1,3,
G240,ya siapa suruh main slot gua main casino aja tembus 2 digit🤣,relevan,judi_online_pinjol,R4,3,
G241,"Implementasi deteksi deepfake dan pengenalan wajah bukan sekadar soal keamanan teknologi. Ini tentang membangun kepercayaan digital di dalam ekosistem.

#InterLink #ITLG #ITL https://t.co/nmL7BvaMvL",relevan,deepfake_penipuan_ai,R2,3,
G242,"KTP-el itu bukan sekadar kartu biasa, lho! Di dalamnya ada cip canggih yang menyimpan data pribadi sensitifmu. Kemendagri mengingatkan masyarakat dan instansi untuk tidak sembarangan meminta, membagikan, atau memfotokopi KTP-el demi menghindari risiko kebocoran data. 
#JagaData https://t.co/tfQGFSQeuL",relevan,peretasan_pencurian_identitas,R3,5,
G243,"@humaniesproject Bang, hati hati akun akun gadungan mengatasnamakan Humanies juga dan Qris palsu. Tp gw percaya ini sih.
 Stay safe...🙏👍",relevan,penipuan_ewallet_qris,R3,4,
G244,Pertanyaannya.. apakah para pemerintah.. para Mentri yang menangani. Judo.. APAKAH MEREKA DAPAT SUAP DARI BANDAR JUDI..??,relevan,judi_online_pinjol,R5,2,
G245,Polisi mana polisi....tindak lanjut nya mana..,tidak_relevan,,,4,
G246,"@kegblgnunfaedh Jarang ke masjid, sekalinya ke masjid pengen sandal baru

Jarang ke masjid, sekalinya ke masjid pengen nyolong kotak amal.

Jarang ke masjid, sekalinya ke masjid nempelin qris palsu.

Dari kpn hari kok “ancamannya” cm mati/keranda, sekalian ky di atas gt lho klo mau roasting 🤣🤣",tidak_relevan,,,3,
G247,"KERUGIAN MENCAPAI RP 1,1 M, POLRI AMANKAN TERSANGKA ARISAN DAN INVESTASI BODONG 

Polri melalui Ditreskrimsus Polda Jawa Timur, berhasil mengamankan satu orang tersangka berinsial APK penipuan arisan dan investasi bodong. 

#KamtibmasCiptaKondusifitas
Pelayanan Wujudkan Keamanan https://t.co/Lqtdd4WVh9",relevan,malware_apk,R5,3,
G248,Di endorse tanggo bang???,tidak_relevan,,,5,
G249,"Sama wkwk..udh beberapa bulan ga maen setelah dikasih menang 30 jt modal 1,5.. setelah liat vidio gw semakin kuat buat stop maen judol ❤️🔥",relevan,judi_online_pinjol,R3,4,
G250,Hanya yg org yg cacat berfikir yg percaya Judi bikin kaya😂. Klo pun menang tetap g da keberkahan hidup,relevan,judi_online_pinjol,R2,3,
G251,"Kalo youtuber banyak yang kasih edukasi kayak gini,saya rasa bandar bisa alih profesi",tidak_relevan,,,3,
G252,"ka kalo semisalnya akun konfirmasikan kata sandi knph yah ka, soalnya akun aku aneh bangt ka piles ka bantu 😞",tidak_relevan,,,3,
G253,Kalo belum mengerti tentang perbankan misal bikin mobile online atau soal tabungan lebih baik tanya2 .. rajin menanya salah satu memberantas penipuan .karna penipu menipu orang2 yg belum paham tentang perbankan..,tidak_relevan,,,4,
G254,Gw paling main slot depo 50 RB 😅😅😅😅 naik 150/200 gw tarik aja,relevan,judi_online_pinjol,R4,4,
G255,Orang tua saya kena tipu gara2 buka apk undangan 77 juta saldo habis,relevan,malware_apk,R1,5,
G256,"Ancaman serangan siber terhadap pelaku usaha di Indonesia tunjukkan tren peningkatan, dengan Kebocoran data dan serangan ransomware masih jadi ancaman utama. Serangan siber membayangi berbagai sektor industry domestik, mulai dari perbankan, manufaktur hingga layanan kesehatan",relevan,peretasan_pencurian_identitas,R5,3,
G257,Semoga kita terhindar dari modus penipuan..semangat buat BRI,tidak_relevan,,,4,
G258,"hii mau nanya dong, akun fb kalau di hack bisa di balikin lg ga ya? kalau bisa ada yg buka jasa hack akun nya ga? :] #zonauang",relevan,peretasan_pencurian_identitas,R1,3,
G259,"knp bisa kena pinjol, nih kena tipu jasa hack suruh cairin limit, udh malah gua ikutin akhirnya tau kena tipu, mau gamau ya harus lunasin padahal duit aja ga gue pake samsek😓",relevan,phishing_rekayasa_sosial,R1,4,
G260,API judulnya itu kan link ke servernya.... Bisa ngak dibloked....gitu aja report.... Yg pasti stop main judol.... Lapor web judol baru ke komdigi.....,relevan,judi_online_pinjol,R2,3,
G261,"Waspada! Ini Ciri Akun WA Dibajak, Bisa Rampok Rekening https://t.co/xsIwSfA3II",relevan,peretasan_pencurian_identitas,R3,4,
G262,"😭Terimakasih bang seudah lihat ini saya sadar Bismillah stop udah cukup habis banyak ,,terimakasi sudah menyadarkan yukk semua yg masih main kita stopp judol",relevan,judi_online_pinjol,R1,4,
G263,tugas utama ditahun 2025 1. Berantas Korupsi 2. Berantas Judol 3. Berantas / edukasi Perdukunan berkedok Agama,relevan,judi_online_pinjol,R3,3,
